sample_id,split,target_grade,prompt_zh,reference_step,L,W,A,B,C
g0_000,train,G0,生成两片相邻三次 Bezier 曲面，只有一条共享接缝；接缝须严格达到 G0 几何连续，并输出已缝合的 STEP B-Rep。,geometry/g0_000.step,1.5612424474644948,1.2825255929118569,-0.567733946945702,-0.1466790197403844,0.0011120538132268936
g0_001,train,G0,生成两片相邻三次 Bezier 曲面，只有一条共享接缝；接缝须严格达到 G0 几何连续，并输出已缝合的 STEP B-Rep。,geometry/g0_001.step,1.8261935740004218,1.1899372207964796,-0.3462454626674334,-0.02814591786724815,0.0118432427100597
g0_002,train,G0,生成两片相邻三次 Bezier 曲面，只有一条共享接缝；接缝须严格达到 G0 几何连续，并输出已缝合的 STEP B-Rep。,geometry/g0_002.step,1.2893285269837786,1.0118560898069562,0.3462662010145042,-0.029370937807407686,-0.07676207439039803
g0_003,train,G0,生成两片相邻三次 Bezier 曲面，只有一条共享接缝；接缝须严格达到 G0 几何连续，并输出已缝合的 STEP B-Rep。,geometry/g0_003.step,1.3299367052322633,1.405315083187461,-0.4667102469057246,0.14266278738647836,-0.0425178791525523
g0_004,train,G0,生成两片相邻三次 Bezier 曲面，只有一条共享接缝；接缝须严格达到 G0 几何连续，并输出已缝合的 STEP B-Rep。,geometry/g0_004.step,1.3881884892659189,1.31318903922396,-0.1784198719344972,-0.14139727358558674,-0.10028877905339413
g0_005,train,G0,生成两片相邻三次 Bezier 曲面，只有一条共享接缝；接缝须严格达到 G0 几何连续，并输出已缝合的 STEP B-Rep。,geometry/g0_005.step,0.7321873985416377,0.9243477790748046,0.14106635395899497,0.07084053302928152,0.0584237059859673
g0_006,train,G0,生成两片相邻三次 Bezier 曲面，只有一条共享接缝；接缝须严格达到 G0 几何连续，并输出已缝合的 STEP B-Rep。,geometry/g0_006.step,1.2810544974661517,1.1872255884364864,-0.3735351560025588,-0.13727054001540412,0.01565350194265096
g0_007,train,G0,生成两片相邻三次 Bezier 曲面，只有一条共享接缝；接缝须严格达到 G0 几何连续，并输出已缝合的 STEP B-Rep。,geometry/g0_007.step,0.9804625098740738,1.1810743383605824,-0.12252231250176515,-0.0954605169197876,-0.02499007889943741
g0_008,train,G0,生成两片相邻三次 Bezier 曲面，只有一条共享接缝；接缝须严格达到 G0 几何连续，并输出已缝合的 STEP B-Rep。,geometry/g0_008.step,0.9887390976473122,0.7176696021907479,-0.25159548576137153,-0.07929075193425486,0.06637093726990126
g0_009,train,G0,生成两片相邻三次 Bezier 曲面，只有一条共享接缝；接缝须严格达到 G0 几何连续，并输出已缝合的 STEP B-Rep。,geometry/g0_009.step,1.848277736410731,0.6086890537838541,0.41704078675747797,-0.050828886914574115,0.013070064261518284
g0_010,train,G0,生成两片相邻三次 Bezier 曲面，只有一条共享接缝；接缝须严格达到 G0 几何连续，并输出已缝合的 STEP B-Rep。,geometry/g0_010.step,1.6718214350336134,1.0476545336634395,-0.4063052549612446,-0.14033268521414383,0.06214642909411447
g0_011,train,G0,生成两片相邻三次 Bezier 曲面，只有一条共享接缝；接缝须严格达到 G0 几何连续，并输出已缝合的 STEP B-Rep。,geometry/g0_011.step,1.9423084139727549,1.5467746054683271,0.33060127770349973,0.21866850870437435,0.06338417173358281
g0_012,train,G0,生成两片相邻三次 Bezier 曲面，只有一条共享接缝；接缝须严格达到 G0 几何连续，并输出已缝合的 STEP B-Rep。,geometry/g0_012.step,1.5124750303699668,0.7147085543511175,0.26570598421606406,0.17693557019845343,0.05862102103801882
g0_013,train,G0,生成两片相邻三次 Bezier 曲面，只有一条共享接缝；接缝须严格达到 G0 几何连续，并输出已缝合的 STEP B-Rep。,geometry/g0_013.step,0.9587683858479743,1.2220507393919755,-0.14379525692832326,0.08704645654298361,-0.016087777146597006
